"year","month","origin","weatherdelay"
2003,1,"OMA",NA
2003,1,"OMA",NA
2003,1,"GTF",NA
2003,1,"OMA",NA
2003,1,"JAC",NA
2003,1,"FSD",NA
2003,1,"PHL",NA
2003,1,"MHT",NA
2003,1,"JFK",NA
2003,1,"PHL",NA
2003,1,"PHL",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"PIT",NA
2003,1,"PHL",NA
2003,1,"BUF",NA
2003,1,"BUF",NA
2003,1,"BOS",NA
2003,1,"PHL",NA
2003,1,"EWR",NA
2003,1,"PIT",NA
2003,1,"PIT",NA
2003,1,"BDL",NA
2003,1,"BOS",NA
2003,1,"PIT",NA
2003,1,"PHL",NA
2003,1,"PIT",NA
2003,1,"PHL",NA
2003,1,"PIT",NA
2003,1,"PIT",NA
2003,1,"PIT",NA
2003,1,"PHL",NA
2003,1,"PIT",NA
2003,1,"PVD",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"PIT",NA
2003,1,"MHT",NA
2003,1,"PIT",NA
2003,1,"LGA",NA
2003,1,"MHT",NA
2003,1,"ALB",NA
2003,1,"PIT",NA
2003,1,"PHL",NA
2003,1,"PHL",NA
2003,1,"PIT",NA
2003,1,"MHT",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"MHT",NA
2003,1,"BDL",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"PVD",NA
2003,1,"ISP",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"PVD",NA
2003,1,"BUF",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"MHT",NA
2003,1,"BWI",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BDL",NA
2003,1,"EWR",NA
2003,1,"BOS",NA
2003,1,"ISP",NA
2003,1,"LGA",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"JFK",NA
2003,1,"BOS",NA
2003,1,"BWI",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"EWR",NA
2003,1,"BWI",NA
2003,1,"EWR",NA
2003,1,"JFK",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"BUF",NA
2003,1,"BDL",NA
2003,1,"EWR",NA
2003,1,"SYR",NA
2003,1,"ROC",NA
2003,1,"PHL",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"BOS",NA
2003,1,"MDT",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"PVD",NA
2003,1,"MHT",NA
2003,1,"ALB",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"PHL",NA
2003,1,"BOS",NA
2003,1,"LGA",NA
2003,1,"BOS",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"JFK",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"JFK",NA
2003,1,"ISP",NA
2003,1,"JFK",NA
2003,1,"BDL",NA
2003,1,"JFK",NA
2003,1,"PHL",NA
2003,1,"PHL",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"BWI",NA
2003,1,"PIT",NA
2003,1,"PWM",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"LGA",NA
2003,1,"BDL",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"JFK",NA
2003,1,"ROC",NA
2003,1,"LGA",NA
2003,1,"BDL",NA
2003,1,"JFK",NA
2003,1,"PHL",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"JFK",NA
2003,1,"ROC",NA
2003,1,"JFK",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BOS",NA
2003,1,"BWI",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"EWR",NA
2003,1,"BUF",NA
2003,1,"PHL",NA
2003,1,"LGA",NA
2003,1,"LGA",NA
2003,1,"ROC",NA
2003,1,"PWM",NA
2003,1,"SYR",NA
2003,1,"JFK",NA
2003,1,"AVP",NA
2003,1,"ABE",NA
2003,1,"SYR",NA
2003,1,"PHL",NA
2003,1,"LGA",NA
2003,1,"BTV",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"GEG",NA
2003,1,"SEA",NA
2003,1,"MFR",NA
2003,1,"PDX",NA
2003,1,"BOI",NA
2003,1,"SEA",NA
2003,1,"BOI",NA
2003,1,"EUG",NA
2003,1,"RDM",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SUN",NA
2003,1,"BOI",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"PDX",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"GEG",NA
2003,1,"SEA",NA
2003,1,"SEA",NA
2003,1,"DFW",NA
2003,1,"MSY",NA
2003,1,"TUL",NA
2003,1,"MSY",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"MSY",NA
2003,1,"DAL",NA
2003,1,"HOU",NA
2003,1,"HOU",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"HOU",NA
2003,1,"AUS",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"TUL",NA
2003,1,"LIT",NA
2003,1,"DAL",NA
2003,1,"MSY",NA
2003,1,"HOU",NA
2003,1,"DAL",NA
2003,1,"HOU",NA
2003,1,"HOU",NA
2003,1,"SAT",NA
2003,1,"AMA",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"MSY",NA
2003,1,"HOU",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"SAT",NA
2003,1,"AUS",NA
2003,1,"SAT",NA
2003,1,"AUS",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"DAL",NA
2003,1,"MSY",NA
2003,1,"DAL",NA
2003,1,"HOU",NA
2003,1,"DAL",NA
2003,1,"JAN",NA
2003,1,"ELP",NA
2003,1,"DAL",NA
2003,1,"HOU",NA
2003,1,"HOU",NA
2003,1,"MSY",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"MSY",NA
2003,1,"GPT",NA
2003,1,"AUS",NA
2003,1,"SAT",NA
2003,1,"MSY",NA
2003,1,"OKC",NA
2003,1,"DFW",NA
2003,1,"AUS",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"BRO",NA
2003,1,"BTR",NA
2003,1,"DAL",NA
2003,1,"EFD",NA
2003,1,"GPT",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"ICT",NA
2003,1,"JAN",NA
2003,1,"LIT",NA
2003,1,"TUL",NA
2003,1,"MSY",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"TUL",NA
2003,1,"DFW",NA
2003,1,"HOU",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"GPT",NA
2003,1,"MLU",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"SAT",NA
2003,1,"XNA",NA
2003,1,"TUL",NA
2003,1,"DFW",NA
2003,1,"OKC",NA
2003,1,"TXK",NA
2003,1,"DFW",NA
2003,1,"MSY",NA
2003,1,"HOU",NA
2003,1,"DFW",NA
2003,1,"MSY",NA
2003,1,"IAH",NA
2003,1,"MSY",NA
2003,1,"DFW",NA
2003,1,"TYR",NA
2003,1,"LRD",NA
2003,1,"DFW",NA
2003,1,"FSM",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"SJT",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"MAF",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"MAF",NA
