"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Alaska",2009,2,66,0,0,2570,0,0.0454545454545455,0
"Alaska",2009,3,71,2,0.028169014084507,2856,0.0195283555076452,0.0664445908794916,0
"Alaska",2009,4,75,0,0,2738,0,0.04,0
"Alaska",2009,5,83,1,0.0120481927710843,3281,0.0118948240462627,0.0353620479017591,0
"Alaska",2009,6,99,1,0.0101010101010101,3940,0.00997329919902354,0.0296486765310962,0
"Alaska",2009,7,107,0,0,4213,0,0.0280373831775701,0
"Alaska",2009,8,93,3,0.032258064516129,4056,0.0182082447684997,0.0679462242623884,0
"Alaska",2009,9,90,0,0,3205,0,0.0333333333333333,0
"Alaska",2009,10,98,2,0.0204081632653061,3038,0.0141227233553881,0.0480887010418668,0
"Alaska",2009,11,77,0,0,2741,0,0.038961038961039,0
"Alaska",2009,12,91,1,0.010989010989011,2836,0.010811268886973,0.0321790980074781,0
"Alaska",2010,1,75,1,0.0133333333333333,2822,0.0131549609006991,0.0391170566987035,0
"Alaska",2010,2,65,3,0.0461538461538462,2580,0.0258947826563179,0.0969076201602293,0
"Alaska",2010,3,66,1,0.0151515151515152,2912,0.0149788277639962,0.0445100175689477,0
"Alaska",2010,4,78,1,0.0128205128205128,2794,0.0126402912037334,0.0375954835798304,0
"Alaska",2010,5,77,2,0.025974025974026,3227,0.0180261882606164,0.0613053549648342,0
"Alaska",2010,6,96,0,0,4000,0,0.03125,0
"Alaska",2010,7,111,1,0.00900900900900901,4322,0.00889256934733679,0.0264384449297891,0
"Alaska",2010,8,105,0,0,4211,0,0.0285714285714286,0
"Alaska",2010,9,79,1,0.0126582278481013,3282,0.012504953746155,0.0371679371905652,0
"Alaska",2010,10,92,1,0.0108695652173913,3058,0.0107048110369637,0.0318509948498402,0
"Alaska",2010,11,56,2,0.0357142857142857,2791,0.0247708695995901,0.0842651901294824,0
"Alaska",2010,12,80,3,0.0375,2883,0.0210761696150993,0.0788092924455947,0
"Alaska",2011,1,85,1,0.0117647058823529,2882,0.0115899168242162,0.0344809428578166,0
"Alaska",2011,2,64,0,0,2641,0,0.046875,0
"Alaska",2011,3,73,0,0,2995,0,0.0410958904109589,0
"Alaska",2011,4,75,0,0,2898,0,0.04,0
"Alaska",2011,5,80,0,0,3337,0,0.0375,0
"Alaska",2011,6,104,0,0,4053,0,0.0288461538461538,0
"Alaska",2011,7,112,2,0.0178571428571429,4311,0.0124055423092285,0.0421720057832306,0
"Alaska",2011,8,109,0,0,4191,0,0.0275229357798165,0
"Alaska",2011,9,88,0,0,3246,0,0.0340909090909091,0
"Alaska",2011,10,66,0,0,3109,0,0.0454545454545455,0
"Alaska",2011,11,67,3,0.0447761194029851,2799,0.0251502752338939,0.0940706588614172,0
"Alaska",2011,12,58,1,0.0172413793103448,2907,0.0170685140972589,0.0506956669409722,0
"Alaska",2012,1,64,1,0.015625,2893,0.01545120244986,0.0459093568017257,0
"Alaska",2012,2,59,1,0.0169491525423729,2734,0.0167652728724007,0.0498090873722782,0
"Alaska",2012,3,66,0,0,2977,0,0.0454545454545455,0
"Alaska",2012,4,81,0,0,2833,0,0.037037037037037,0
"Alaska",2012,5,86,0,0,3316,0,0.0348837209302326,0
"Alaska",2012,6,101,2,0.0198019801980198,3965,0.0137533401570628,0.0467585269058629,0
"Alaska",2012,7,108,0,0,4199,0,0.0277777777777778,0
"Alaska",2012,8,88,0,0,4099,0,0.0340909090909091,0
"Alaska",2012,9,80,3,0.0375,3090,0.0210963083880169,0.078848764440513,0
"Alaska",2012,10,70,0,0,2942,0,0.0428571428571429,0
"Alaska",2012,11,60,0,0,2723,0,0.05,0
"Alaska",2012,12,71,1,0.0140845070422535,2818,0.0139059443355381,0.0413401579399083,0
"Alaska",2013,1,68,2,0.0294117647058824,2834,0.0203923284018757,0.0693807283735588,0
"Alaska",2013,2,59,0,0,2571,0,0.0508474576271186,0
"Alaska",2013,3,84,2,0.0238095238095238,2931,0.0164926110166903,0.0561350414022368,0
"Alaska",2013,4,77,0,0,2825,0,0.038961038961039,0
"Alaska",2013,5,73,1,0.0136986301369863,3265,0.013544625089426,0.0402460953122613,0
"Alaska",2013,6,121,0,0,4099,0,0.0247933884297521,0
"Alaska",2013,7,104,0,0,4427,0,0.0288461538461538,0
"Alaska",2013,8,97,1,0.0103092783505155,4350,0.0101936878048286,0.0302889064479795,0
"Alaska",2013,9,81,0,0,3246,0,0.037037037037037,0
"Alaska",2013,10,100,1,0.01,3010,0.00983248396204069,0.0292716685655997,0
"Alaska",2013,11,66,1,0.0151515151515152,2766,0.0149696573167906,0.0444920434924246,0
"Alaska",2013,12,56,0,0,2870,0,0.0535714285714286,0
"Central",2003,6,2250,23,0.0102222222222222,89709,0.00209426206745126,0.0143269758744267,0.00611746857001775
"Central",2003,7,2372,48,0.0202360876897133,92998,0.00285461681959156,0.0258311366561128,0.0146410387233139
"Central",2003,8,2208,36,0.016304347826087,92505,0.00266339133386957,0.0215245948404713,0.0110841008117026
"Central",2003,9,2197,14,0.00637232589895312,88453,0.00167680683100608,0.00965886728772504,0.0030857845101812
"Central",2003,10,2205,8,0.0036281179138322,92158,0.00126528085991825,0.00610806839927196,0.00114816742839244
"Central",2003,11,2051,35,0.0170648464163823,85321,0.00282587540154551,0.0226035622034114,0.0115261306293531
"Central",2003,12,2201,43,0.0195365742844162,89409,0.00291417823021174,0.0252483636156312,0.0138247849532012
"Central",2004,1,2481,114,0.0459492140266022,101433,0.00415261437469959,0.0540883382010134,0.037810089852191
"Central",2004,2,2356,43,0.018251273344652,96058,0.00272432529410792,0.0235909509211035,0.0129115957682004
"Central",2004,3,2552,50,0.0195924764890282,103647,0.00271006199396623,0.024904197997202,0.0142807549808544
"Central",2004,4,2471,33,0.0133549170376366,100413,0.00228108837569519,0.0178258502539992,0.00888398382127402
"Central",2004,5,2561,66,0.0257711831315892,103188,0.00309257575455347,0.031832631610514,0.0197097346526644
"Central",2004,6,2469,63,0.0255164034021871,100161,0.0031347621409888,0.0316605371985252,0.0193722696058491
"Central",2004,7,2527,57,0.0225563909774436,102395,0.00291768088784928,0.0282750455176282,0.016837736437259
"Central",2004,8,2597,63,0.0242587601078167,104619,0.00298188520744947,0.0301032551144177,0.0184142651012157
"Central",2004,9,2532,17,0.00671406003159558,99083,0.00160236885779104,0.00985470299286602,0.00357341707032513
"Central",2004,10,2573,43,0.0167120093276331,102233,0.002495652475372,0.0216034881793622,0.011820530475904
"Central",2004,11,2509,56,0.0223196492626544,97269,0.00291141195321332,0.0280260166909525,0.0166132818343563
"Central",2004,12,2527,89,0.0352196280174119,100540,0.00362128194774576,0.0423173406349936,0.0281219153998303
"Central",2005,1,2400,93,0.03875,98623,0.00389214711909609,0.0463786083534283,0.0311213916465717
"Central",2005,2,2249,31,0.0137839039573144,89810,0.00242810250586486,0.0185429848688095,0.00902482304581923
"Central",2005,3,2557,56,0.0219006648416113,101792,0.00285834943123609,0.027503029726834,0.0162982999563885
"Central",2005,4,2470,27,0.0109311740890688,97930,0.0020660410922058,0.0149806146297922,0.00688173354834545
"Central",2005,5,2517,32,0.0127135478744537,101376,0.00220566820428299,0.0170366575548484,0.00839043819405906
