"year","month","origin","avg_del","n_flights","n_wdelay"
2003,6,"DTW",0.465737119537494,11762,11762
2003,2,"XNA",NA,772,0
2003,6,"VPS",0.917333333333333,375,375
2003,3,"HSV",NA,663,0
2003,8,"BUF",0.733127253992787,1941,1941
2003,7,"WYS",0,93,93
2003,11,"STL",0.15103825136612,4575,4575
2003,3,"IAH",NA,15578,0
2003,10,"VCT",2.70786516853933,89,89
2003,5,"FAI",NA,446,0
2003,6,"IAD",1.21014492753623,8418,8418
2003,6,"EKO",0,292,292
2003,12,"FAY",0.866666666666667,150,150
2003,6,"GJT",1.00626959247649,319,319
2003,8,"ABY",1.51219512195122,123,123
2003,12,"LYH",0.591397849462366,93,93
2003,9,"MEM",0.497751917482148,3781,3781
2003,3,"CMI",NA,145,0
2003,8,"VPS",0.635338345864662,532,532
2003,11,"EWR",0.400305761184422,12428,12428
2003,7,"GPT",1.14587737843552,473,473
2003,5,"LGA",NA,8723,0
2003,5,"CLL",NA,256,0
2003,12,"MFE",0.275735294117647,272,272
2003,3,"GNV",NA,212,0
2003,5,"MOT",NA,93,0
2003,4,"MSY",NA,4302,0
2003,8,"DTW",1.21077264143197,12179,12179
2003,5,"MSN",NA,639,0
2003,6,"ABY",0.875,120,120
2003,4,"MEM",NA,4250,0
2003,10,"ACV",0.607476635514019,321,321
2003,6,"BUF",0.53726362625139,1798,1798
2003,8,"IAD",1.944545869466,8764,8764
2003,11,"DAY",0.0172413793103448,1102,1102
2003,5,"CIC",NA,93,0
2003,8,"EKO",0.915178571428571,224,224
2003,5,"RDD",NA,186,0
2003,8,"GJT",4.48417721518987,316,316
2003,10,"CAE",0.0595238095238095,840,840
2003,11,"CEC",0.578313253012048,83,83
2003,5,"MKE",NA,1691,0
2003,11,"TVC",4.11242603550296,169,169
2003,5,"MCO",NA,7717,0
2003,11,"FWA",0.00596421471172962,503,503
2003,6,"JAN",0.690533980582524,824,824
2003,6,"BDL",0.291290205999277,2767,2767
2003,6,"SBN",0,281,281
2003,5,"CSG",NA,183,0
2003,3,"BPT",NA,138,0
2003,8,"GSP",0.617588932806324,1012,1012
2003,7,"SPS",0,173,173
2003,3,"LBB",NA,893,0
2003,7,"SYR",0.324271844660194,1030,1030
2003,11,"DSM",0.27741935483871,620,620
2003,7,"MFR",0.238670694864048,331,331
2003,10,"SDF",0.101490825688073,1744,1744
2003,3,"BQN",NA,31,0
2003,7,"SNA",0.173149309912171,3985,3985
2003,7,"BUR",0.359823399558499,2265,2265
2003,10,"MGM",0.306451612903226,310,310
2003,10,"GTF",0.116935483870968,248,248
2003,10,"PSC",0.706093189964158,279,279
2003,12,"MLU",0.314754098360656,305,305
2003,1,"GFK",NA,88,0
2003,6,"SFO",0.0964671246319922,10190,10190
2003,7,"ORD",1.78596043395022,31340,31340
2003,12,"OMA",0.477286493034525,1651,1651
2003,2,"LAN",NA,388,0
2003,2,"MQT",NA,24,0
2003,3,"BOS",NA,10000,0
2003,4,"SCE",NA,117,0
2003,9,"BMI",0.845637583892617,149,149
2003,4,"PIT",NA,5325,0
2003,5,"MTJ",NA,104,0
2003,7,"ATW",0.409836065573771,61,61
2003,5,"BIS",NA,145,0
2003,10,"RIC",0,1302,1302
2003,11,"COD",5.55,60,60
2003,4,"BTV",NA,564,0
2003,1,"HSV",NA,661,0
2003,4,"PVD",NA,2261,0
2003,4,"PFN",NA,269,0
2003,1,"IAH",NA,14673,0
