"year","month","Region","avg_del","n_flights"
2004,7,"UpperMidwest",44.1224489795918,49
2004,7,"West",45.7894736842105,19
2004,8,"Central",47.6369863013699,146
2004,8,"Hawaii",18,1
2004,8,"NorthRockies",36.8571428571429,7
2004,8,"Northeast",56.0133333333333,150
2004,8,"Northwest",70.2,5
2004,8,"South",39.64,225
2004,8,"Southeast",44.6062717770035,287
2004,8,"Southwest",43.5348837209302,43
2004,8,"UpperMidwest",60.5227272727273,44
2004,8,"West",33.537037037037,54
2004,9,"Central",51.4210526315789,57
2004,9,"NorthRockies",41,3
2004,9,"Northeast",53.0657894736842,76
2004,9,"Northwest",102.5,2
2004,9,"South",54.0740740740741,27
2004,9,"Southeast",61.8251748251748,143
2004,9,"Southwest",31.8181818181818,11
2004,9,"UpperMidwest",59.3928571428571,28
2004,9,"West",32.2777777777778,18
2004,10,"Central",42.093023255814,129
2004,10,"Hawaii",27,1
2004,10,"NorthRockies",73.2,5
2004,10,"Northeast",36.7230769230769,65
2004,10,"Northwest",101.75,8
2004,10,"South",38.1982378854626,227
2004,10,"Southeast",42.3525179856115,139
2004,10,"Southwest",43.8695652173913,23
2004,10,"UpperMidwest",36.0588235294118,34
2004,10,"West",49.2758620689655,58
2004,11,"Alaska",20,1
2004,11,"Central",44.6216216216216,148
2004,11,"NorthRockies",23.5,4
2004,11,"Northeast",34.8651685393258,89
2004,11,"Northwest",67.2105263157895,19
2004,11,"South",41.5757575757576,264
2004,11,"Southeast",50.3145539906103,213
2004,11,"Southwest",57.2941176470588,34
2004,11,"UpperMidwest",37.4054054054054,37
2004,11,"West",40.5609756097561,41
2004,12,"Alaska",29.6666666666667,3
2004,12,"Central",43.5758620689655,290
2004,12,"NorthRockies",61.4666666666667,15
2004,12,"Northeast",43.1990521327014,211
2004,12,"Northwest",50.6428571428571,14
2004,12,"South",36.1458333333333,192
2004,12,"Southeast",51.5542857142857,175
2004,12,"Southwest",60.8958333333333,48
2004,12,"UpperMidwest",43.051724137931,58
2004,12,"West",45.2666666666667,90
